x_cm,y_cm,z_cm,is_manual
-12.080740690231323,3.9312400817871094,31.60015082359314,False
-12.113792657852173,3.9312400817871094,31.63320279121399,False
-12.153886795043945,3.9312400817871094,31.67329692840576,False
-12.153886795043945,3.9312400817871094,31.709882259368896,False
-12.153886795043945,3.9312400817871094,31.746021270751953,False
-12.153886795043945,3.9312400817871094,31.783122062683105,False
-12.153886795043945,3.9312400817871094,31.10145378112793,False
-12.153886795043945,3.9312400817871094,31.10145378112793,False
-12.966074466705322,3.9312400817871094,31.913641452789307,False
-13.817874193191528,3.9312400817871094,33.61724090576172,False
-13.899689674377441,3.9312400817871094,33.780871868133545,False
-13.977686882019043,3.9312400817871094,33.93686628341675,False
-14.05917763710022,3.9312400817871094,34.0998477935791,False
-14.132766008377075,3.9312400817871094,34.24702453613281,False
-14.177374839782715,3.9312400817871094,34.33624219894409,False
-14.214925527572632,3.9312400817871094,34.37379288673401,False
-14.260180950164795,3.9312400817871094,34.41904830932617,False
-14.30079197883606,3.9312400817871094,34.45965933799744,False
-14.30079197883606,3.9312400817871094,34.506054162979126,False
-14.30079197883606,3.9312400817871094,33.78625845909119,False
-14.30079197883606,3.9312400817871094,33.78625845909119,False
-14.30079197883606,3.9312400817871094,34.58947253227234,False
-14.382891178131104,3.9312400817871094,34.67157173156738,False
-14.46199631690979,3.9312400817871094,34.75067687034607,False
-14.5160813331604,3.9312400817871094,34.80476188659668,False
-14.562650203704834,3.9312400817871094,34.85133075714111,False
-14.608293294906616,3.9312400817871094,34.896973848342896,False
-14.608293294906616,3.9312400817871094,34.93602252006531,False
-14.608293294906616,3.9312400817871094,34.97761130332947,False
-14.608293294906616,3.9312400817871094,35.01565766334534,False
-14.608293294906616,3.9312400817871094,35.01565766334534,False
-14.608293294906616,3.9312400817871094,35.01565766334534,False
-14.608293294906616,3.9312400817871094,35.01565766334534,False
-14.608293294906616,3.9312400817871094,35.01565766334534,False
-14.608293294906616,3.9312400817871094,35.705448389053345,False
-14.608293294906616,3.9312400817871094,35.795053243637085,False
-14.608293294906616,3.9312400817871094,35.88971257209778,False
-14.608293294906616,3.9312400817871094,35.95781087875366,False
-14.608293294906616,3.9312400817871094,35.99385118484497,False
-14.608293294906616,3.9312400817871094,36.026877880096436,False
-14.608293294906616,3.9312400817871094,36.066930055618286,False
-14.608293294906616,3.9312400817871094,36.11503791809082,False
-14.608293294906616,3.9312400817871094,36.15009117126465,False
-14.608293294906616,3.9312400817871094,36.185184955596924,False
-14.608293294906616,3.9312400817871094,36.185184955596924,False
-14.608293294906616,3.9312400817871094,35.203261613845825,False
-14.608293294906616,3.9312400817871094,35.203261613845825,False
-14.608293294906616,3.9312400817871094,36.01852369308472,False
-14.608293294906616,3.9312400817871094,36.102593421936035,False
-14.608293294906616,3.9312400817871094,36.18366074562073,False
-14.608293294906616,3.9312400817871094,36.305431604385376,False
-14.608293294906616,3.9312400817871094,36.37560200691223,False
-14.608293294906616,3.9312400817871094,36.410118103027344,False
-14.608293294906616,3.9312400817871094,36.44521188735962,False
-14.608293294906616,3.9312400817871094,36.48035931587219,False
-14.608293294906616,3.9312400817871094,36.51730155944824,False
-14.608293294906616,3.9312400817871094,36.55082678794861,False
-14.608293294906616,3.9312400817871094,36.590900182724,False
-14.608293294906616,3.9312400817871094,36.626906394958496,False
-14.608293294906616,3.9312400817871094,35.78887104988098,False
-14.608293294906616,3.9312400817871094,35.78887104988098,False
-14.608293294906616,3.9312400817871094,36.498693227767944,True
-14.608293294906616,3.9312400817871094,36.5027117729187,False
-13.88668966293335,3.9312400817871094,37.945919036865234,False
-13.730502605438232,3.9312400817871094,38.10210609436035,False
-13.567359924316406,3.9312400817871094,38.26524877548218,False
-13.33009386062622,3.9312400817871094,38.423426151275635,False
-13.138242244720459,3.9312400817871094,38.55132722854614,False
-13.027225255966187,3.9312400817871094,38.625338554382324,False
-12.91602873802185,3.9312400817871094,38.699469566345215,False
-12.813799381256104,3.9312400817871094,38.76762247085571,False
-12.70858097076416,3.9312400817871094,38.83776807785034,False
-12.585421085357666,3.9312400817871094,38.91987466812134,False
-12.468055486679077,3.9312400817871094,38.99811840057373,False
-10.990897417068481,3.9312400817871094,38.99811840057373,False
-10.990897417068481,3.9312400817871094,38.99811840057373,False
-11.675336599349976,3.9312400817871094,39.682557582855225,False
-12.413786172866821,3.9312400817871094,41.159456729888916,False
